Sample,Stiffness (MPa),Strength (MPa)
CQAA20161004_U1_Fail 10052016 083108_tdf,1.07994256070984,0.197161001384861
DSAA20151123_U1_Fail 11272015 010730_tdf,2.17028899346616,0.279802409172617
DSAA20151123_U2_Fail 11272015 011614_tdf,1.86918878574618,0.381160515383021
DSAA20151123_U3_Fail 11272015 012349_tdf,1.2300933132379,0.221288850395639
HSAA20160503_U1_Fail 05132016 045507_tdf,2.54793740726244,0.380434098450924
HSAA20160503_U2_Fail 05132016 050106_tdf,1.1962013722691,0.215624188834795
HSAA20160503_U3_Fail 05132016 050808_tdf,3.67146749547256,0.474807265153459
TCAA_20150320_Fail 08052015 041616_tdf,3.53249214640899,2.93868421186683
GBAA20160114_U1,386.5480254694485,85.08898858145888
MHAA20151125_U1,467.727090903679,61.71460841746011
MHAA20151125_U2,203.82675441348815,24.942776782966877
MHAA20151125_U3,652.839962912728,214.8816155239862
