,Project,Sample,Specimen,G-G,Width,Thickness,Position,Direction,Filename
0,AA,RSAA20160621,U1,5,4.62,2.365,small,E11,RSAA20160621_U1_Fail 06212016 060915_tdf.CSV
1,AA,RSAA20160621,U2,5,3.97,2.775,ant,E11,RSAA20160621_U2_Fail 06212016 061505_tdf.CSV
2,AA,RSAA20160621,U3,9,3.99,1.65,post,E11,RSAA20160621_U3_Fail 06212016 062037_tdf.CSV
3,AA,CSAA20161123,U1,6,2.98,2.55,ant,E11,CSAA-2016-11-23-U1_Fail 11242016 030840_tdf.CSV
4,AA,CSAA20161123,L1,8,3.05,2.58,ant,E22,CSAA-2016-11-23-L1_Fail 11242016 031638_tdf.CSV
5,AA,CSAA20161123,U2,5,3.12,2.76,post,E11,CSAA-2016-11-23-U2_Fail 11242016 032525_tdf.CSV
6,AA,CSAA20161123,L2,7,3.39,2.61,post,E22,CSAA-2016-11-23-L2_Fail 11242016 033319_tdf.CSV
7,AA,LLAA20161207,U1,12,3.775,2.525,ant,E11,LLAA20170712_U1_Fail 12092016 021617_tdf.CSV
8,AA,LLAA20161207,U2,12,3.195,2.14,ant,E22,LLAA20170712_L1_Fail 12092016 022903_tdf.CSV
9,AA,ISAA20170106,L1,12,2.675,2.375,ant,E22,ISAA20170106_L1_Fail 01072017 045841_tdf.CSV
10,AA,ISAA20170106,U1,10,3.305,3.055,ant,E11,ISAA20170106_U1_Fail 01072017 052121_tdf.CSV
11,AA,ISAA20170106,U2,14,2.81,2.525,large,E11,ISAA20170106_U2_Fail 01072017 050647_tdf.CSV
12,AA,ISAA20170106,L2,7,3.025,2.895,large,E22,ISAA20170106_L2_Fail 01072017 051426_tdf.CSV
13,AA,ISAA20170106,L3,6,3.59,3.4,post,E22,ISAA20170106_L3_Fail 01072017 053255_tdf.CSV
14,AA,ISAA20170106,U3,0,4.435,3.15,post,E11,
15,AA,ISAA20170106,L4,11,3.105,3.57,small,E22,ISAA20170106_L4_Fail 01072017 054337_tdf.CSV
16,AA,ISAA20170106,U4,12,3.015,3.225,small,E11,ISAA20170106_U4_Fail 01072017 054848_tdf.CSV
17,AA,RDAA20170118,U1,14,2.845,2.485,ant,E11,RDAA20170118_U1_Fail 01202017 022433_tdf.CSV
18,AA,RDAA20170118,L1,16,1.875,2.32,ant,E22,RDAA20170118_L1_Fail 01202017 022935_tdf.CSV
19,AA,RDAA20170118,U2,8,2.84,2.695,post,E11,RDAA20170118_U2_Fail 01202017 023852_tdf.CSV
20,AA,RDAA20170118,L2,8,2.178,3.005,post,E22,RDAA20170118_L2_Fail 01202017 031001_tdf.CSV
21,AA,RDAA20170118,U3,5,2.515,2.49,small,E11,RDAA20170118_U3_Fail 01202017 031802_tdf.CSV
22,AA,RDAA20170118,U4,7,2.38,2.615,large,E11,RDAA20170118_U4_Fail 01202017 032531_tdf.CSV
23,AA,JBAA20170609,U1,8,6.015,2.75,ant,E11,JBAA20170609_U1_Fail 09072017 010747_tdf.TXT
24,AA,JBAA20170609,L1,8,4.16,2.67,ant,E22,JBAA20170609_L1_Fail 09072017 011636_tdf.TXT
25,AA,JBAA20170609,U2,7,4.77,2.58,post,E11,JBAA20170609_U2_Fail 09072017 012454_tdf.TXT
26,AA,JBAA20170609,L2,5,5.485,3.405,post,E11,JBAA20170609_L2_Fail 09072017 013530_tdf.TXT
27,AA,JBAA20170609,U4,8,4.435,2.685,large,E11,JBAA20170609_U4_Fail 09072017 014110_tdf.TXT
28,AA,JBAA20170609,L4,8,5.085,2.615,large,E22,JBAA20170609_L4_Fail 09072017 014724_tdf.TXT
29,AA,GHAA20170215,U1,5,1.985,1.845,ant,E11,GHAA20170215_U1_Fail 07102017 111215_tdf.TXT
30,AA,GHAA20170215,L1,8,2.605,1.8,ant,E22,GHAA20170215_L1_Fail 07102017 114535_tdf.TXT
31,AA,GHAA20170215,U2,8,1.945,1.96,ant,E11,GHAA20170215_U2_Fail 07102017 111940_tdf.TXT
32,AA,GHAA20170215,L2,8,2.765,1.765,post,E22,GHAA20170215_L2_Fail 07102017 115316_tdf.TXT
33,AA,GHAA20170215,U3,5,2.44,2.735,small,E11,GHAA20170215_U3_Fail 07102017 112547_tdf.TXT
34,AA,GHAA20170215,L3,9,2.89,3.145,small,E22,GHAA20170215_L3_Fail 07102017 120122_tdf.TXT
35,AA,GHAA20170215,U4,5,2.44,1.745,large,E11,GHAA20170215_U4_Fail 07102017 113053_tdf.TXT
36,AA,GHAA20170215,L4,6,3.14,1.7,large,E22,GHAA20170215_L4_Fail 07102017 120802_tdf.TXT
37,AA,GHAA20170215,U5,2,2.215,1.915,post,E11,GHAA20170215_U5_Fail 07102017 113623_tdf.TXT
38,AA,RSAA20161108,U1,9,1.29,1.245,ant,E11,RSAA 2016-11-08-Circum-Dot1 11102016 023054_tdf.CSV
39,AA,RSAA20161108,U2,9,1.215,0.83,ant,E11,RSAA 2016-11-08-Circum-Dot2 11102016 023840_tdf.CSV
40,AA,RSAA20161108,U3,4,1.77,1.1,large,E11,RSAA 2016-11-08-Circum-Dot3 11102016 024454_tdf.CSV
41,AA,RSAA20161108,U4,5,1.645,1.275,large,E11,RSAA 2016-11-08-Circum-Dot4 11102016 025511_tdf.CSV
42,AA,RSAA20161108,U5,14.5,1.195,1.17,small,E11,RSAA 2016-11-08-Circum-Dot5 11102016 030342_tdf.CSV
